L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/12/2021 - 16:17:30: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 16:17:30: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/12/2021 - 16:39:37: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 18:26:10: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 19:10:31: [OFFICIAL] ADMIN TRENd seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 19:10:32: [OFFICIAL] ADMIN TRENd seteaza cvar mp_timelimit = 0 .
L 01/12/2021 - 19:10:32: [OFFICIAL] ADMIN TRENd seteaza cvar mp_timelimit = 25 .
L 01/12/2021 - 23:35:40: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/13/2021 - 00:30:52: [OFFICIAL] ADMIN Osiris seteaza cvar sv_restart = 3 .
L 01/13/2021 - 11:30:23: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 11:30:23: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/13/2021 - 12:17:29: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/13/2021 - 13:56:49: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 13:56:50: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 0 .
L 01/13/2021 - 15:42:12: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/13/2021 - 15:42:12: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/13/2021 - 16:09:07: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/13/2021 - 16:09:08: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/13/2021 - 16:09:08: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 300 .
L 01/13/2021 - 16:09:09: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/13/2021 - 16:09:09: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/13/2021 - 18:13:32: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 2 .
L 01/13/2021 - 19:04:42: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 19:04:42: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/13/2021 - 20:48:08: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 20:50:37: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 20:50:40: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/13/2021 - 20:50:44: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/13/2021 - 20:50:44: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/13/2021 - 20:50:45: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/13/2021 - 20:50:45: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/13/2021 - 20:50:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/13/2021 - 20:50:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/13/2021 - 20:50:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/13/2021 - 20:50:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/13/2021 - 21:27:38: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/13/2021 - 21:27:42: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/13/2021 - 21:27:45: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/13/2021 - 21:27:45: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/13/2021 - 21:27:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/13/2021 - 21:27:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/13/2021 - 21:27:50: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/13/2021 - 21:27:50: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/14/2021 - 11:16:15: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/14/2021 - 11:16:15: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/14/2021 - 11:52:51: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/14/2021 - 12:19:36: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/14/2021 - 13:56:02: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/14/2021 - 13:56:03: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/14/2021 - 14:40:27: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/14/2021 - 14:59:10: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/14/2021 - 14:59:10: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/14/2021 - 16:11:38: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/14/2021 - 17:32:59: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/14/2021 - 17:32:59: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/14/2021 - 23:44:33: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 0 .
L 01/14/2021 - 23:44:33: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 1 .
L 01/14/2021 - 23:44:38: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.1 .
L 01/14/2021 - 23:44:39: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.5 .
L 01/14/2021 - 23:44:39: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1 .
L 01/14/2021 - 23:44:39: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1.5 .
L 01/14/2021 - 23:52:49: [OFFICIAL] ADMIN Didi seteaza cvar sv_restart = 3 .
L 01/14/2021 - 23:52:52: [OFFICIAL] ADMIN Didi seteaza cvar sv_restart = 3 .
L 01/14/2021 - 23:57:38: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/15/2021 - 11:06:36: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 11:06:37: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/15/2021 - 12:07:05: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 12:07:06: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/15/2021 - 13:24:52: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 13:24:53: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/15/2021 - 14:14:44: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 15:03:45: [OFFICIAL] ADMIN DaN'EllA seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 15:03:45: [OFFICIAL] ADMIN DaN'EllA seteaza cvar mp_timelimit = 0 .
L 01/15/2021 - 16:21:33: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 16:46:27: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 17:09:46: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 17:12:48: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 5 .
L 01/15/2021 - 17:12:48: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 0 .
L 01/15/2021 - 17:12:48: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 2 .
L 01/15/2021 - 17:12:49: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 5 .
L 01/15/2021 - 17:12:50: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 0 .
L 01/15/2021 - 17:34:43: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/15/2021 - 17:37:54: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 2 .
L 01/15/2021 - 17:37:55: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 5 .
L 01/15/2021 - 17:38:02: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/15/2021 - 17:38:02: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/15/2021 - 17:40:50: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 0 .
L 01/15/2021 - 17:40:50: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_freezetime = 2 .
L 01/15/2021 - 17:55:31: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 17:58:04: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 17:58:05: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 17:58:05: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 17:58:06: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 17:58:07: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 18:43:23: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 19:07:42: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:07:43: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 19:07:43: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 19:07:43: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 19:07:43: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:07:44: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 19:07:44: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 19:07:44: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 19:07:44: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:07:45: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 19:07:46: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 19:07:46: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 19:07:47: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:07:47: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 19:07:48: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 19:07:48: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 19:07:48: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:07:49: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 19:07:49: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 19:07:50: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 19:07:50: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 19:41:50: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/15/2021 - 20:03:07: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/15/2021 - 20:03:09: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/15/2021 - 20:03:09: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/15/2021 - 20:03:11: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/15/2021 - 20:03:12: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/15/2021 - 20:03:12: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/15/2021 - 20:03:13: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/15/2021 - 20:03:13: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/15/2021 - 20:03:13: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/15/2021 - 20:03:16: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/15/2021 - 20:03:16: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/16/2021 - 00:34:45: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar sv_restart = 3 .
L 01/16/2021 - 01:09:02: [OFFICIAL] ADMIN TRENd seteaza cvar sv_restart = 3 .
L 01/16/2021 - 11:56:34: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/16/2021 - 11:56:35: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/16/2021 - 11:59:39: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 11:59:40: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 11:59:43: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 11:59:43: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 11:59:44: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 11:59:44: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 12:24:09: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 12:24:12: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 12:24:14: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 12:24:15: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 12:24:15: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 12:24:15: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 12:24:28: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_timeout = 60 .
L 01/16/2021 - 12:24:28: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_timeout = 999 .
L 01/16/2021 - 12:24:29: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_timeout = 300 .
L 01/16/2021 - 13:58:27: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 13:58:28: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 13:58:30: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 13:58:31: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 13:58:31: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 13:58:31: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 14:10:42: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/16/2021 - 14:10:42: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/16/2021 - 15:25:21: [OFFICIAL] ADMIN Andreea. seteaza cvar mp_timelimit = 35 .
L 01/16/2021 - 15:25:22: [OFFICIAL] ADMIN Andreea. seteaza cvar mp_timelimit = 0 .
L 01/16/2021 - 15:51:58: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 35 .
L 01/16/2021 - 15:51:59: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 0 .
L 01/16/2021 - 15:52:00: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/16/2021 - 16:54:23: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_autoteambalance = 1 .
L 01/16/2021 - 17:16:33: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/16/2021 - 17:16:33: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/16/2021 - 17:55:11: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/16/2021 - 19:49:46: [OFFICIAL] ADMIN TRENd seteaza cvar mp_autoteambalance = 1 .
L 01/16/2021 - 19:49:48: [OFFICIAL] ADMIN TRENd seteaza cvar mp_autoteambalance = 0 .
L 01/16/2021 - 19:49:48: [OFFICIAL] ADMIN TRENd seteaza cvar mp_autoteambalance = 1 .
L 01/16/2021 - 19:49:55: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 19:49:56: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 20:24:14: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 20:24:15: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 20:24:23: [OFFICIAL] ADMIN TRENd seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 20:24:24: [OFFICIAL] ADMIN TRENd seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 20:24:24: [OFFICIAL] ADMIN TRENd seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 20:24:26: [OFFICIAL] ADMIN TRENd seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 22:41:03: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 22:41:04: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 22:41:11: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 22:41:12: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 22:41:12: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 22:41:13: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 23:09:21: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/16/2021 - 23:09:22: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/16/2021 - 23:09:22: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/16/2021 - 23:09:23: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/16/2021 - 23:09:23: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/16/2021 - 23:09:23: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/16/2021 - 23:09:24: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/16/2021 - 23:09:27: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 300 .
L 01/16/2021 - 23:09:27: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/16/2021 - 23:09:27: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/17/2021 - 00:08:18: [OFFICIAL] ADMIN TRENd seteaza cvar sv_restart = 3 .
L 01/17/2021 - 00:36:46: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 0 .
L 01/17/2021 - 00:36:47: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 1 .
L 01/17/2021 - 11:36:56: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/17/2021 - 11:36:56: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/17/2021 - 11:36:56: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/17/2021 - 11:36:56: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1.5 .
L 01/17/2021 - 11:36:57: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.1 .
L 01/17/2021 - 11:36:57: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 0.5 .
L 01/17/2021 - 11:36:57: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_maxunlag = 1 .
L 01/17/2021 - 11:44:09: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/17/2021 - 11:44:10: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/17/2021 - 12:48:29: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/17/2021 - 12:48:29: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/17/2021 - 13:15:25: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/17/2021 - 13:15:25: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/17/2021 - 13:48:49: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_restart = 3 .
L 01/17/2021 - 14:48:09: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/17/2021 - 14:48:10: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/17/2021 - 14:48:12: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/17/2021 - 14:48:13: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/17/2021 - 14:48:14: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/17/2021 - 14:48:14: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/17/2021 - 14:48:14: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/17/2021 - 14:48:15: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/17/2021 - 14:48:15: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/17/2021 - 14:48:17: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/17/2021 - 14:48:18: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/17/2021 - 14:48:18: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 300 .
L 01/17/2021 - 14:48:18: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/17/2021 - 14:48:19: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/17/2021 - 15:10:35: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/17/2021 - 15:10:35: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/17/2021 - 15:10:36: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/17/2021 - 15:10:37: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/17/2021 - 15:10:37: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/17/2021 - 15:10:38: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/17/2021 - 16:01:24: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/17/2021 - 16:01:25: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/17/2021 - 17:54:32: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/17/2021 - 17:54:37: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/17/2021 - 17:54:39: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/17/2021 - 17:54:40: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/17/2021 - 17:54:40: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/17/2021 - 17:54:40: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/17/2021 - 18:10:57: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/17/2021 - 18:35:00: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
