L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/08/2021 - 15:25:43: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_maxunlag = 1.5 .
L 01/08/2021 - 17:47:57: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 17:47:57: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/08/2021 - 18:15:21: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 60 .
L 01/08/2021 - 18:15:22: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_timeout = 999 .
L 01/08/2021 - 18:49:28: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 18:49:28: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 0 .
L 01/08/2021 - 20:15:09: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 20:29:18: [OFFICIAL] ADMIN blioshele seteaza cvar mp_freezetime = 5 .
L 01/08/2021 - 20:29:20: [OFFICIAL] ADMIN blioshele seteaza cvar mp_freezetime = 0 .
L 01/08/2021 - 20:42:28: [OFFICIAL] ADMIN DaN'EllA seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 20:49:27: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 2 .
L 01/08/2021 - 21:07:51: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 21:20:55: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.1 .
L 01/08/2021 - 21:20:55: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 0.5 .
L 01/08/2021 - 21:20:55: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1 .
L 01/08/2021 - 21:20:56: [OFFICIAL] ADMIN Osiris seteaza cvar sv_maxunlag = 1.5 .
L 01/08/2021 - 21:20:58: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 0 .
L 01/08/2021 - 21:20:58: [OFFICIAL] ADMIN Osiris seteaza cvar sv_unlag = 1 .
L 01/08/2021 - 21:40:10: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 35 .
L 01/08/2021 - 21:40:11: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 12:35:42: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/09/2021 - 13:53:52: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 13:53:52: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 14:46:08: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 14:46:08: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 16:09:25: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 16:09:26: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 16:55:44: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 60 .
L 01/09/2021 - 16:55:44: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 999 .
L 01/09/2021 - 16:55:44: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 300 .
L 01/09/2021 - 16:59:51: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 16:59:52: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 18:48:51: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 18:48:53: [OFFICIAL] ADMIN oarba_dupa_tine seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 19:35:00: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 19:35:01: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 20:12:05: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/09/2021 - 20:12:05: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/09/2021 - 20:13:40: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 60 .
L 01/09/2021 - 20:13:40: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 999 .
L 01/09/2021 - 20:13:40: [OFFICIAL] ADMIN MiXtApPe seteaza cvar sv_timeout = 300 .
L 01/10/2021 - 13:23:00: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 13:23:00: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 13:45:46: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_autoteambalance = 1 .
L 01/10/2021 - 14:39:38: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 14:39:39: [OFFICIAL] ADMIN WatcH mE seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 15:54:38: [OFFICIAL] ADMIN TRENd seteaza cvar sv_restart = 3 .
L 01/10/2021 - 16:19:41: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 16:19:41: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 17:15:57: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 17:15:58: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 18:29:48: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 18:29:48: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 18:56:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 18:56:03: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 18:56:04: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 25 .
L 01/10/2021 - 18:56:05: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 18:56:30: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/10/2021 - 18:56:31: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/10/2021 - 18:56:31: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 300 .
L 01/10/2021 - 18:56:32: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
